2023-09-30 13:06:22 | INFO | login | Successful login!2023-09-30 13:06:30 | INFO | addItem | Item added: Item Code - 000, Quantity - 20, Unit Price - 20.02023-09-30 13:06:36 | INFO | makePayment | User payment made: Total Amount - 400.0, Amount Given - 1000.0, Change Amount - 600.02023-09-30 13:06:41 | INFO | displayReceipt | displayReceipt method called.2023-09-30 13:06:41 | INFO | displayReceipt | Receipt displayed.2023-09-30 13:10:03 | INFO | login | Successful login!
2023-09-30 13:10:15 | INFO | addItem | Item added: Item Code - 2020, Quantity - 20, Unit Price - 100.0
2023-09-30 13:10:22 | INFO | deleteItem | deleteItem method called.
2023-09-30 13:10:26 | INFO | deleteItem | Item not found  : Item Code - 3
2023-09-30 13:10:43 | INFO | makePayment | User payment made: Total Amount - 2000.0, Amount Given - 2500.0, Change Amount - 500.0
2023-09-30 13:10:47 | INFO | displayReceipt | displayReceipt method called.
2023-09-30 13:10:47 | INFO | displayReceipt | Receipt displayed.
2023-09-30 13:36:42 | INFO | login | Successful login!
2023-09-30 13:36:57 | INFO | addItem | Item added: Item Code - 2021, Quantity - 21, Unit Price - 20.0
2023-09-30 13:37:03 | INFO | displayReceipt | displayReceipt method called.
2023-09-30 13:37:03 | INFO | displayReceipt | Receipt displayed.
2023-09-30 13:37:14 | INFO | displayUserMenu | Invalid option. Please choose a valid option.
2023-09-30 13:43:55 | INFO | login | Successful login!
2023-09-30 13:44:36 | INFO | login | User not found.
2023-09-30 13:44:36 | INFO | login | Register as a new user (yes/no): 
2023-09-30 13:44:49 | INFO | login | Login attempts left: 2
2023-09-30 13:45:05 | INFO | login | User not found.
2023-09-30 13:45:05 | INFO | login | Register as a new user (yes/no): 
2023-09-30 13:45:10 | INFO | login | User registered and logged in!
2023-09-30 13:55:30 | INFO | login | User not found.
2023-09-30 13:55:31 | INFO | login | Register as a new user (yes/no): 
2023-09-30 13:55:35 | INFO | login | User registered and logged in!
2023-09-30 13:56:00 | INFO | addItem | Item added: Item Code - 6464, Quantity - 60, Unit Price - 6.0
2023-09-30 13:56:07 | INFO | makePayment | User payment made: Total Amount - 360.0, Amount Given - 400.0, Change Amount - 40.0
2023-09-30 13:56:13 | INFO | displayReceipt | displayReceipt method called.
2023-09-30 13:56:13 | INFO | displayReceipt | Receipt displayed.
